Month,Year,Fish,Ducks,Total ,,
J,2006,71,25,96,,
F,2006,76,29,105,,
M,2006,73,29,102,,
A,2006,81,29,110,,
M,2006,83,32,115,,
J,2006,25,81,106,,
J,2006,35,89,124,,
A,2006,32,91,123,,
S,2006,25,87,112,,
O,2006,21,96,117,,
N,2006,113,51,164,,
D,2006,125,49,174,,
J,2007,90,34,124,,
F,2007,91,30,121,,
M,2007,90,30,120,,
A,2007,35,97,132,,
M,2007,34,96,130,,
J,2007,34,97,131,,
J,2007,43,105,148,,
A,2007,38,105,143,,
S,2007,119,43,162,,
O,2007,134,45,179,,
N,2007,139,58,197,,
D,2007,148,60,208,,
J,2008,103,37,140,,
F,2008,37,106,143,,
M,2008,34,103,137,,
A,2008,45,114,159,,
M,2008,40,117,157,,
J,2008,37,113,150,,
J,2008,129,48,177,,
A,2008,127,45,172,,
S,2008,137,45,182,,
O,2008,160,56,216,,
N,2008,125,175,300,,
D,2008,137,201,338,,
,,,,,,
,,,,,,
,,,,,,z
